age,nl,sex,zcr
19.0,portuguese,female,83199
22.0,portuguese,female,104837
31.0,portuguese,male,87173
44.0,portuguese,male,52212
40.0,portuguese,male,82166
26.0,portuguese,male,59723
18.0,portuguese,male,52151
22.0,punjabi,male,104011
26.0,punjabi,male,39795
19.0,punjabi,male,51156
33.0,punjabi,female,91029
49.0,punjabi,male,190258
44.0,punjabi,male,74872
19.0,punjabi,male,142805
37.0,russian,male,95866
20.0,russian,female,31120
54.0,russian,male,73750
62.0,russian,male,109531
26.0,russian,male,30778
33.0,russian,male,73476
37.0,russian,male,64072
23.0,russian,male,50579
46.0,russian,female,58489
33.0,russian,female,126544
21.0,russian,male,90275
18.0,russian,male,55661
19.0,russian,male,80758
27.0,russian,male,148737
25.0,russian,male,121730
31.0,russian,male,44936
25.0,russian,female,95472
68.0,russian,female,192821
30.0,russian,female,89399
24.0,russian,female,92939
27.0,russian,female,101084
29.0,russian,female,48426
68.0,russian,female,91910
24.0,russian,female,89483
26.0,russian,female,85175
25.0,russian,female,88217
26.0,russian,female,116973
66.0,russian,male,139242
23.0,russian,male,15744
20.0,spanish,female,141146
21.0,tagalog,male,95947
21.0,taishan,male,128176
35.0,tamil,female,48271
26.0,tamil,male,50937
36.0,tamil,female,47923
47.0,tamil,female,78021
29.0,tatar,female,64462
31.0,telugu,male,70176
18.0,telugu,male,93735
59.0,teochew,female,74439
20.0,tibetan,female,134857
25.0,tigrigna,female,71230
58.0,tigrigna,female,52314
27.0,turkish,female,80028
27.0,turkish,male,48105
24.0,turkish,female,71146
25.0,turkish,male,84351
18.0,turkish,female,51478
23.0,turkish,female,42913
18.0,turkish,male,55990
25.0,turkish,male,146504
31.0,turkish,male,35897
27.0,turkish,male,63026
25.0,turkish,male,54088
24.0,turkish,male,56920
19.0,turkish,female,42065
18.0,turkish,female,77278
23.0,turkish,male,45295
37.0,turkish,female,106682
31.0,turkish,male,93900
32.0,turkish,male,69040
45.0,turkish,male,92625
18.0,turkish,female,95729
24.0,turkish,female,55257
21.0,turkish,female,63018
27.0,turkish,male,69785
24.0,turkish,female,76012
24.0,turkish,male,138532
24.0,turkish,male,128817
24.0,turkish,male,116370
24.0,turkish,male,86781
24.0,turkish,female,120678
26.0,turkish,female,104411
20.0,turkish,male,44084
30.0,turkish,female,63750
19.0,turkish,male,42213
19.0,turkish,male,82867
37.0,turkish,male,93147
25.0,turkish,male,28030
19.0,twi,male,86812
24.0,urdu,female,52466
20.0,urdu,female,47808
46.0,uyghur,female,147866
34.0,uyghur,female,116750
49.0,uyghur,female,129900
24.0,vlaams,male,56298
21.0,vlaams,female,107496
22.0,vlaams,female,87239
50.0,vlaams,female,162057
30.0,wu,female,78920
30.0,xiang,male,77167
36.0,xiang,male,86840
23.0,xiang,female,80990
19.0,yakut,female,49833
78.0,yiddish,female,63089
52.0,yiddish,male,52173
31.0,yupik,female,48672
